"","x"
"sa34708.pdf.broadband",100
"sa34708.pdf.infrastructur",99
"sa34708.pdf.author",88
"sa34708.pdf.oper",88
"sa34708.pdf.servic",82
"sa34708.pdf.access",78
"sa34708.pdf.backhaul",71
"sa34708.pdf.aid",68
"sa34708.pdf.polish",60
"sa34732.pdf.network",60
"sa34732.pdf.author",47
"sa34732.pdf.oper",43
"sa34732.pdf.public",43
"sa34732.pdf.broadband",39
"sa34732.pdf.infrastructur",38
"sa34732.pdf.measur",36
"sa34732.pdf.aid",34
"sa34732.pdf.italian",31
"sa34732.pdf.servic",28
"sa34809.pdf.aid",33
"sa34809.pdf.broadband",32
"sa34809.pdf.measur",29
"sa34809.pdf.network",28
"sa34809.pdf.nga",23
"sa34809.pdf.oper",22
"sa34809.pdf.commiss",21
"sa34809.pdf.germani",20
"sa34809.pdf.infrastructur",17
"sa34809.pdf.object",14
"sa34845.pdf.measur",13
"sa34845.pdf.aid",7
"sa34845.pdf.claw",7
"sa34845.pdf.amount",5
"sa34845.pdf.broadband",5
"sa34845.pdf.mechan",5
"sa34845.pdf.author",4
"sa34845.pdf.commiss",4
"sa34845.pdf.cost",4
"sa34845.pdf.accord",3
"sa34932.pdf.network",132
"sa34932.pdf.broadband",107
"sa34932.pdf.infrastructur",100
